birth_year,gender,used_time,transportation_type,transportation_num,station_name,getonoff_code,transfer_result,amt
1967,M,2022-01-01 07:26:00,SUB,1호선,중동,R,N,1250
1967,M,2022-01-01 21:54:00,SUB,1호선,중동,A,N,200
2004,M,2022-01-01 22:15:00,BUS,6,순천향대학병원.부명고,R,N,1010
2004,M,2022-01-01 22:21:00,BUS,6,계룡리슈빌,A,N,0
2004,M,2022-01-02 10:12:00,SUB,미확인노선,부천시청,R,N,720
1991,F,2022-01-02 15:43:00,SUB,미확인노선,춘의,A,N,200
2004,M,2022-01-02 20:34:00,BUS,24,상동역1번출구.부천터미널소풍.홈플러스,A,N,0
2004,M,2022-01-02 20:36:00,BUS,23-2,상동역1번출구.부천터미널소풍.홈플러스,R,Y,140
2004,M,2022-01-02 20:43:00,BUS,23-2,계룡리슈빌,A,Y,0
1967,M,2022-01-03 07:22:00,SUB,1호선,중동,R,N,1250
1976,F,2022-01-03 15:13:00,BUS,3,중동행정복지센터.시민회관,R,N,1450
1976,F,2022-01-03 15:31:00,BUS,3,축협원미지점,A,N,0
1976,F,2022-01-03 18:32:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-03 18:51:00,BUS,3,KT부천지사,A,N,0
1967,M,2022-01-03 21:55:00,SUB,1호선,중동,A,N,200
1976,F,2022-01-04 06:54:00,BUS,3,시민운동장,R,N,1450
1976,F,2022-01-04 07:07:00,BUS,3,축협원미지점,A,N,0
1967,M,2022-01-04 07:23:00,SUB,1호선,중동,R,N,1250
1990,M,2022-01-04 10:12:00,BUS,12-1,은하마을.덕유마을,R,N,1450
1990,M,2022-01-04 10:28:00,BUS,12-1,송내역C,A,N,0
1976,F,2022-01-04 11:04:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-04 11:17:00,BUS,3,시민운동장.시민회관,A,N,0
1990,F,2022-01-04 13:06:00,BUS,52,부천시민학습원,R,N,1450
1990,F,2022-01-04 13:14:00,BUS,52,위브더스테이트5단지,A,N,0
1990,F,2022-01-04 13:18:00,SUB,미확인노선,신중동,R,Y,0
1976,F,2022-01-04 15:27:00,BUS,3,중동행정복지센터.시민회관,R,N,1450
1976,F,2022-01-04 15:40:00,BUS,3,축협원미지점,A,N,0
1976,F,2022-01-04 17:17:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-04 17:33:00,BUS,3,KT부천지사,A,N,0
1986,M,2022-01-04 17:58:00,SUB,미확인노선,신중동,R,N,1250
1990,F,2022-01-04 19:29:00,SUB,미확인노선,신중동,A,N,0
1990,F,2022-01-04 19:38:00,BUS,52,신중동역3번출구.원미경찰서.롯데백화점,R,Y,200
1990,F,2022-01-04 19:50:00,BUS,52,부천시민학습원,A,Y,0
1986,M,2022-01-04 21:41:00,SUB,미확인노선,신중동,A,N,300
1967,M,2022-01-04 21:56:00,SUB,1호선,중동,A,N,200
1967,M,2022-01-05 07:23:00,SUB,1호선,중동,R,N,1250
1990,M,2022-01-05 10:16:00,BUS,12-1,은하마을.덕유마을,R,N,1450
1990,M,2022-01-05 10:20:00,BUS,12-1,포도마을사거리.현대백화점.이마트,A,N,0
1990,F,2022-01-05 13:06:00,BUS,52,부천시민학습원,R,N,1450
1990,F,2022-01-05 13:15:00,BUS,52,신중동역2번출구.원미경찰서.롯데백화점,A,N,0
1990,F,2022-01-05 13:18:00,SUB,미확인노선,신중동,R,Y,0
1976,F,2022-01-05 14:33:00,BUS,3,시민운동장,R,N,1450
1976,F,2022-01-05 14:48:00,BUS,3,축협원미지점,A,N,0
1976,F,2022-01-05 16:21:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-05 16:34:00,BUS,3,부천역.국민은행,A,N,0
1990,F,2022-01-05 19:22:00,SUB,미확인노선,신중동,A,N,0
1990,F,2022-01-05 19:24:00,BUS,52,신중동역3번출구.원미경찰서.롯데백화점,R,Y,200
1990,F,2022-01-05 19:31:00,BUS,52,부천시민학습원,A,Y,0
1967,M,2022-01-05 21:47:00,SUB,1호선,중동,A,N,200
1976,F,2022-01-06 06:55:00,BUS,3,부천대입구,R,N,1450
1976,F,2022-01-06 07:03:00,BUS,3,축협원미지점,A,N,0
1990,M,2022-01-06 09:54:00,BUS,23,포도마을사거리.현대백화점.이마트,R,N,1450
1990,F,2022-01-06 09:55:00,SUB,1호선,부천,R,N,1250
1990,M,2022-01-06 09:58:00,BUS,23,부명고.순천향대학병원,A,N,0
2004,M,2022-01-06 16:14:00,BUS,23-2,계룡리슈빌,R,N,1010
2004,M,2022-01-06 16:24:00,BUS,23-2,부천자유시장.대산동행정복지센터,A,N,0
1986,M,2022-01-06 16:28:00,SUB,미확인노선,부천시청,R,N,1250
2004,M,2022-01-06 16:34:00,BUS,53,부천자유시장.대산동행정복지센터,R,Y,0
2004,M,2022-01-06 16:45:00,BUS,53,삼익세라믹아파트.SKVIEW아파트,A,Y,0
1990,F,2022-01-06 19:16:00,SUB,미확인노선,신중동,A,N,0
1990,F,2022-01-06 19:24:00,BUS,52,신중동역3번출구.원미경찰서.롯데백화점,R,Y,200
1990,F,2022-01-06 19:32:00,BUS,52,부천시민학습원,A,Y,0
1983,F,2022-01-06 20:24:00,BUS,87,순천향대학병원.부명고,R,N,1250
2004,M,2022-01-06 21:16:00,BUS,56,소사어울마당사거리,R,N,1010
2004,M,2022-01-06 21:37:00,BUS,56,신중동역4번출구.롯데백화점,A,N,0
1986,M,2022-01-07 00:59:00,BUS,700,부천시청역4번출구.현대백화점.경기예고,A,N,0
1967,M,2022-01-07 07:22:00,SUB,1호선,중동,R,N,1250
1983,F,2022-01-07 08:33:00,BUS,77-1,송내역.로데오거리,R,N,1450
1986,M,2022-01-07 10:25:00,SUB,1호선,송내,R,N,1250
1990,F,2022-01-07 12:26:00,BUS,52,부천시민학습원,R,N,1450
1990,F,2022-01-07 12:33:00,BUS,52,위브더스테이트5단지,A,N,0
1990,F,2022-01-07 12:36:00,SUB,미확인노선,신중동,R,Y,0
1976,F,2022-01-07 14:48:00,BUS,3,중동행정복지센터.시민회관,R,N,1450
1976,F,2022-01-07 15:00:00,BUS,3,축협원미지점,A,N,0
1991,F,2022-01-07 15:18:00,SUB,미확인노선,춘의,A,N,100
1986,M,2022-01-07 16:20:00,BUS,56-1,옥길단독2블럭.상업지역,A,Y,100
1976,F,2022-01-07 16:35:00,BUS,3,풍림아파트.부천다문화지원센터,R,N,1450
1986,M,2022-01-07 16:43:00,SUB,1호선,역곡,R,Y,0
1976,F,2022-01-07 16:49:00,BUS,3,시민운동장.시민회관,A,N,0
1986,M,2022-01-07 16:58:00,SUB,1호선,송내,A,Y,100
2004,M,2022-01-07 17:11:00,SUB,미확인노선,신중동,R,N,720
2004,M,2022-01-07 17:17:00,SUB,미확인노선,부천종합운동장,A,N,0
2004,M,2022-01-07 17:33:00,SUB,미확인노선,부천종합운동장,R,N,720
2004,M,2022-01-07 17:40:00,SUB,미확인노선,신중동,A,N,0
1990,F,2022-01-07 19:11:00,SUB,미확인노선,신중동,A,N,0
1990,F,2022-01-07 19:18:00,BUS,52,신중동역3번출구.원미경찰서.롯데백화점,R,Y,200
1990,F,2022-01-07 19:28:00,BUS,52,대성병원.심곡천사거리,A,Y,0
1967,M,2022-01-07 22:07:00,SUB,1호선,중동,A,N,200
1967,M,2022-01-08 07:26:00,SUB,1호선,중동,R,N,1250
2004,M,2022-01-08 13:23:00,SUB,미확인노선,부천시청,R,N,720
1991,F,2022-01-08 14:25:00,BUS,70-2,춘의역6번출구,R,N,1450
1991,F,2022-01-08 14:32:00,BUS,70-2,대성병원,A,N,0
1991,F,2022-01-08 19:17:00,SUB,서해선,소사,R,N,1250
2004,M,2022-01-08 19:58:00,BUS,24,상동역1번출구.부천터미널소풍.홈플러스,A,N,0
2004,M,2022-01-08 20:55:00,BUS,52,상동역1번출구.부천터미널소풍.홈플러스,R,N,1010
1990,M,2022-01-08 21:00:00,SUB,미확인노선,부천시청,A,N,500
2004,M,2022-01-08 21:01:00,BUS,52,계룡리슈빌,A,N,0
1967,M,2022-01-08 21:44:00,SUB,1호선,중동,A,N,200
1967,M,2022-01-09 11:23:00,SUB,1호선,중동,R,N,1250
2004,M,2022-01-09 12:14:00,SUB,미확인노선,부천시청,R,N,720
1967,M,2022-01-09 16:53:00,SUB,1호선,중동,A,N,300
1991,F,2022-01-09 21:33:00,BUS,673,부천우편집중국.부천실업고,A,Y,200
1967,M,2022-01-10 07:23:00,SUB,1호선,중동,R,N,1250
1986,M,2022-01-10 09:00:00,SUB,미확인노선,상동,R,N,1250
1976,F,2022-01-10 15:38:00,BUS,3,중동행정복지센터.시민회관,R,N,1450
1976,F,2022-01-10 15:51:00,BUS,3,축협원미지점,A,N,0
1976,F,2022-01-10 19:40:00,BUS,3,축협원미지점,R,N,1450
1976,F,2022-01-10 19:47:00,BUS,3,부천역북부(기점),A,N,0
1967,M,2022-01-10 21:49:00,SUB,1호선,중동,A,N,200
1976,F,2022-01-11 06:42:00,BUS,3,중동행정복지센터.시민회관,R,N,1450
1983,M,2022-01-11 06:47:00,BUS,6-2,중동역,R,N,1450
