station,stationid,latitude,longitude
KCC스위첸아파트.한신아파트,211000062,37.4752667,126.7996667
KEB하나은행도당동지점,210000373,37.5166,126.7798167
KEB하나은행도당동지점,212000004,37.5168167,126.7797
KT부천지사,210000365,37.4868667,126.77525
KT부천지사,210000101,37.4869667,126.7762
KT부천지사사거리,210000003,37.4859333,126.7764667
KT부천지사사거리,210000013,37.48575,126.7767333
KT북부천지사.365안전교육장,210000351,37.5202167,126.7935667
KT북부천지사.365안전교육장,210000353,37.5200833,126.7928167
KT중동지사,210000551,37.5021833,126.7608
KT중동지사,210000525,37.5024667,126.7607
SB마트,210000433,37.48755,126.8062
SK뷰아파트,211000266,37.4787167,126.7998667
SK뷰아파트,211000238,37.47845,126.7994
e편한세상1.3차아파트,210000582,37.4897167,126.8145333
e편한세상1.3차아파트,210000584,37.48965,126.8147167
e편한세상1차아파트,210000593,37.4893667,126.8146833
e편한세상2차.예원아파트,210000599,37.4906667,126.8141
e편한세상2차.예원아파트,210000583,37.4905833,126.8142333
e편한세상4차아파트,210000589,37.48835,126.8153833
가구전시장,212000358,37.5242167,126.8235833
가구전시장,212000325,37.52435,126.8236833
가톨릭대학교,210000421,37.4858333,126.8046
가톨릭대학교입구.보람쉬움아파트,210000309,37.4836333,126.8049833
가톨릭대학교입구.보람쉬움아파트,210000036,37.4836333,126.8043833
가톨릭대학교정문,210000422,37.4855667,126.8048667
강남시장,210000273,37.50605,126.78015
강남시장,210000269,37.5059,126.7804
경기국제통상고.포도마을뉴서울.중앙공원,210000289,37.5009167,126.7621833
경기국제통상고.포도마을뉴서울.중앙공원,210000044,37.5010167,126.7626
경남아파트,210000552,37.4974,126.75435
경원여객차고지(경유),277102363,37.4828167,126.78305
계남고교,210000162,37.49485,126.7703333
계남고교,210000116,37.4953167,126.76965
계남고교,210000534,37.4947,126.77065
계남고교,210000129,37.4955833,126.7701333
계남중학교,210000127,37.49775,126.7731
계남중학교,210000118,37.4978,126.7745
계룡리슈빌,210000218,37.5036333,126.7699
계수농협,211000142,37.4658833,126.8102333
계수농협,211000030,37.4661167,126.8104167
고강1동주민센터.수주어린이공원,212000078,37.52965,126.8124667
고강1동주민센터.수주어린이공원,212000092,37.5298167,126.8124
고강공영차고지,212000379,37.5376167,126.8190167
고강공영차고지,212000380,37.5377667,126.8190333
고강공영차고지(경유),277102744,37.53675,126.8171667
고강동.국민은행,212000160,37.5270333,126.8162
고강동.국민은행,212000053,37.5270833,126.8159
고강동우체국,212000098,37.5265333,126.8170667
고강동우체국,212000071,37.5266,126.8172667
고강동철탑,212000400,37.5347333,126.8213
고강동철탑,212000401,37.5349667,126.8214
고강동철탑(시계지점),212000246,37.5343,126.8219833
고강동철탑(시계지점),212000244,37.5341667,126.8217667
고강선사유적공원앞,212000099,37.5248833,126.8158833
고강선사유적공원앞,212000070,37.5249667,126.8156333
고강수영장,212000361,37.5287667,126.8219333
고강수영장,212000328,37.5287333,126.8221
고강시장입구,212000190,37.5283667,126.8111167
고강시장입구,212000199,37.5282667,126.8113167
고강아파트,212000329,37.5304,126.8222167
고강아파트,212000362,37.5303833,126.8220167
고강차고지(경유),277102365,37.5360333,126.8215667
고개,210000428,37.4850167,126.8034333
공구상가.부천천문과학관,210000346,37.5082333,126.78535
공구상가.부천천문과학관,210000357,37.5089333,126.7855333
괴안동입구,211000131,37.481,126.8046833
괴안동입구,211000134,37.4807833,126.80545
괴안동입구.성심고가,211000122,37.48215,126.8049
괴안동입구.성심고가,211000119,37.48185,126.8053167
괴안동행정복지센터,211000156,37.4781667,126.8073333
괴안동행정복지센터,211000138,37.4782,126.8074667
괴안사거리.괴안우체국,211000161,37.47945,126.8068667
괴안사거리.괴안우체국,211000133,37.47935,126.8068
괴안사거리.삼오유치원,211000065,37.4792667,126.8074167
괴안사거리.삼오유치원,211000078,37.4790833,126.80765
구산사거리(경유),277103550,37.4841167,126.7534167
국립과학수사연구소,212000408,37.52385,126.8256833
국립과학수사연구소,212000372,37.5237,126.8257167
국민은행(마),210000415,37.4863833,126.8133833
국민은행(마),210000410,37.48655,126.8133167
군부대정문,212000427,37.5286,126.78985
군부대정문,212000428,37.5285167,126.7897667
그린타운.미리내마을,210000117,37.4983667,126.7698667
그린타운.미리내마을,210000128,37.4981333,126.77035
그린타운상가.무지개마을,210000052,37.4971667,126.76765
그린타운상가.무지개마을,210000220,37.4969667,126.7679
그린타운앞.유베이스,210000545,37.4964167,126.7760333
극동아파트,211000084,37.4781,126.7805667
극동아파트,211000058,37.4782,126.7803
극동아파트앞(경유),277102721,37.48855,126.7511667
극동아파트앞(경유),277101754,37.4887833,126.751
근화아파트,210000389,37.5206833,126.7959167
근화아파트,210000379,37.5208833,126.7957
금강마을,210000106,37.5079333,126.7593833
금강마을,210900005,37.5079333,126.7587
금강마을상가.한라마을,210000143,37.5086,126.7601333
금강맨션,210000034,37.4840167,126.7998333
금강맨션,210000311,37.4838667,126.79965
금강주공아파트,210000142,37.5082167,126.763
금수강산,211000247,37.4819333,126.7630667
금수강산,211000246,37.4818167,126.76285
금호빌라,212000132,37.52385,126.7888
금호빌라,212000128,37.5236833,126.7888167
금호한양상가.유베이스,210000544,37.4962,126.7758167
기린운수종점,211000284,37.4699333,126.8297333
기업은행.위브더스테이트5단지,210000006,37.49835,126.7772167
깊은구지,211000047,37.4812833,126.7757833
깊은구지사거리,211000056,37.4788833,126.77545
깊은구지사거리,211000086,37.4787333,126.7756167
깊은구지사거리심곡고가방면,211000109,37.4792,126.77525
까치울,212000402,37.51255,126.8100167
까치울마을,212000413,37.5131,126.8154833
까치울마을,212000410,37.5128833,126.8157167
까치울역2번출구,210000382,37.50615,126.8105833
까치울역3번출구,212000174,37.50645,126.8102
까치울역4번출구.까치울전원마을3.4단지,212000064,37.5074667,126.8115667
까치울역5번출구.까치울전원마을3.4단지,212000105,37.5073667,126.8119167
까치울전원마을1.2단지,212000104,37.51055,126.8125667
까치울전원마을1.2단지,212000065,37.5107167,126.81225
까치울초등학교,212000103,37.5144833,126.8133833
까치울초등학교,212000066,37.5148167,126.8131833
까치울터널,212000411,37.51325,126.8216333
까치울터널,212000412,37.51325,126.8180333
꿈동산.사랑마을,210000048,37.4937,126.7574667
꿈동산.사랑마을,210000286,37.4939667,126.75705
꿈마을,210000240,37.5011667,126.7805333
꿈마을,210000108,37.5014333,126.7806667
꿈마을.연화마을,210000141,37.4981667,126.7798
꿈마을.연화마을,210000148,37.49845,126.78005
꿈마을아파트,210000611,37.5006333,126.7792167
나성빌딩,210000371,37.5088667,126.77515
나성빌딩,210000178,37.5083667,126.7746667
남정빌라,212000075,37.52885,126.8216167
남정빌라,212000094,37.5289667,126.8218667
내동고개,212000152,37.5200333,126.7822333
내동고개,212000137,37.5203667,126.7821667
내동사거리,212000153,37.5200333,126.7768167
내동사거리,212000136,37.5202833,126.7763167
내리주유소.내동사거리,212000165,37.5223333,126.7753667
내리주유소.내동사거리,212000170,37.5223,126.7758167
내셔날전기,212000434,37.5262667,126.7826833
내촌고가밑,212000119,37.5242167,126.78465
내촌고가입구,212000007,37.52625,126.7823833
내촌고가입구,212000130,37.5244167,126.7843667
내촌사거리,212000006,37.5205833,126.7845333
내촌사거리,212000003,37.5205333,126.7848
노동복지회관.오정시장,212000129,37.52405,126.7858833
노마즈하우스.우리은행,210000340,37.4886333,126.78355
농협사거리(마),210000306,37.4875667,126.8108333
농협신흥지점,210000369,37.5137,126.7754
농협중앙회,210000385,37.5004333,126.7751833
농협중앙회,210000384,37.50075,126.77575
다보악기,211000236,37.4785833,126.7960833
다정한마을.금강아파트,210000200,37.5137667,126.7546167
다정한마을.금강주공아파트,210000205,37.5143,126.7550667
다정한마을.레미안아파트,210000204,37.5152667,126.7580833
다정한마을.레미안아파트,210000201,37.5154,126.7589833
다정한마을주공아파트,210000461,37.5156667,126.7573
당아래,210000024,37.5045167,126.7948333
당아래,210000025,37.5046667,126.7950167
당아래지하차도,210000079,37.5046833,126.7938333
당아래지하차도,210000078,37.5051333,126.79415
대동아파트정문앞,210000475,37.4897,126.7425333
대림슈퍼.극동아파트,211000286,37.4775333,126.7823667
대림슈퍼.극동아파트,211000285,37.47745,126.7825167
대림아파트,210000487,37.51165,126.75775
대성병원,210000341,37.4917333,126.78425
대성병원,210000362,37.4914667,126.7845667
대성병원.심곡천사거리,210000133,37.49145,126.7836667
대성병원.심곡천사거리,210000112,37.4912167,126.7833333
대성연립,212000091,37.5304,126.8091
대성연립,212000079,37.5304833,126.8087667
대우푸르지오앞,211000265,37.4782167,126.7981
대장공영차고지,212000232,37.5358667,126.7616167
대장공영차고지,212000230,37.536,126.7616833
대장공영차고지(경유),277103079,37.5359667,126.7614
대장동입구,115000585,37.54045,126.8004667
대장동종점,212000011,37.5415333,126.7884667
대장동종점,212000106,37.5416333,126.78855
대장초교,212000010,37.5414,126.7912167
대장초교,212000107,37.5414167,126.79095
대진기전,210000617,37.5105833,126.7833167
