ride_time,station
2022-01-01 07:26:00,중동
2022-01-01 21:54:00,중동
2022-01-01 22:15:00,순천향대학병원.부명고
2022-01-01 22:21:00,계룡리슈빌
2022-01-02 10:12:00,부천시청
2022-01-02 15:43:00,춘의
2022-01-02 20:34:00,상동역1번출구.부천터미널소풍.홈플러스
2022-01-02 20:36:00,상동역1번출구.부천터미널소풍.홈플러스
2022-01-02 20:43:00,계룡리슈빌
2022-01-03 07:22:00,중동
2022-01-03 15:13:00,중동행정복지센터.시민회관
2022-01-03 15:31:00,축협원미지점
2022-01-03 18:32:00,축협원미지점
2022-01-03 18:51:00,KT부천지사
2022-01-03 21:55:00,중동
2022-01-04 06:54:00,시민운동장
2022-01-04 07:07:00,축협원미지점
2022-01-04 07:23:00,중동
2022-01-04 10:12:00,은하마을.덕유마을
2022-01-04 10:28:00,송내역C
2022-01-04 11:04:00,축협원미지점
2022-01-04 11:17:00,시민운동장.시민회관
2022-01-04 13:06:00,부천시민학습원
2022-01-04 13:14:00,위브더스테이트5단지
2022-01-04 13:18:00,신중동
2022-01-04 15:27:00,중동행정복지센터.시민회관
2022-01-04 15:40:00,축협원미지점
2022-01-04 17:17:00,축협원미지점
2022-01-04 17:33:00,KT부천지사
2022-01-04 17:58:00,신중동
2022-01-04 19:29:00,신중동
2022-01-04 19:38:00,신중동역3번출구.원미경찰서.롯데백화점
2022-01-04 19:50:00,부천시민학습원
2022-01-04 21:41:00,신중동
2022-01-04 21:56:00,중동
2022-01-05 07:23:00,중동
2022-01-05 10:16:00,은하마을.덕유마을
2022-01-05 10:20:00,포도마을사거리.현대백화점.이마트
2022-01-05 13:06:00,부천시민학습원
2022-01-05 13:15:00,신중동역2번출구.원미경찰서.롯데백화점
2022-01-05 13:18:00,신중동
2022-01-05 14:33:00,시민운동장
2022-01-05 14:48:00,축협원미지점
2022-01-05 16:21:00,축협원미지점
2022-01-05 16:34:00,부천역.국민은행
2022-01-05 19:22:00,신중동
2022-01-05 19:24:00,신중동역3번출구.원미경찰서.롯데백화점
2022-01-05 19:31:00,부천시민학습원
2022-01-05 21:47:00,중동
2022-01-06 06:55:00,부천대입구
2022-01-06 07:03:00,축협원미지점
2022-01-06 09:54:00,포도마을사거리.현대백화점.이마트
2022-01-06 09:55:00,부천
2022-01-06 09:58:00,부명고.순천향대학병원
2022-01-06 16:14:00,계룡리슈빌
2022-01-06 16:24:00,부천자유시장.대산동행정복지센터
2022-01-06 16:28:00,부천시청
2022-01-06 16:34:00,부천자유시장.대산동행정복지센터
2022-01-06 16:45:00,삼익세라믹아파트.SKVIEW아파트
2022-01-06 19:16:00,신중동
2022-01-06 19:24:00,신중동역3번출구.원미경찰서.롯데백화점
2022-01-06 19:32:00,부천시민학습원
2022-01-06 20:24:00,순천향대학병원.부명고
2022-01-06 21:16:00,소사어울마당사거리
2022-01-06 21:37:00,신중동역4번출구.롯데백화점
2022-01-07 00:59:00,부천시청역4번출구.현대백화점.경기예고
2022-01-07 07:22:00,중동
2022-01-07 08:33:00,송내역.로데오거리
2022-01-07 10:25:00,송내
2022-01-07 12:26:00,부천시민학습원
2022-01-07 12:33:00,위브더스테이트5단지
2022-01-07 12:36:00,신중동
2022-01-07 14:48:00,중동행정복지센터.시민회관
2022-01-07 15:00:00,축협원미지점
2022-01-07 15:18:00,춘의
2022-01-07 16:20:00,옥길단독2블럭.상업지역
2022-01-07 16:35:00,풍림아파트.부천다문화지원센터
2022-01-07 16:43:00,역곡
2022-01-07 16:49:00,시민운동장.시민회관
2022-01-07 16:58:00,송내
2022-01-07 17:11:00,신중동
2022-01-07 17:17:00,부천종합운동장
2022-01-07 17:33:00,부천종합운동장
2022-01-07 17:40:00,신중동
2022-01-07 19:11:00,신중동
2022-01-07 19:18:00,신중동역3번출구.원미경찰서.롯데백화점
2022-01-07 19:28:00,대성병원.심곡천사거리
2022-01-07 22:07:00,중동
2022-01-08 07:26:00,중동
2022-01-08 13:23:00,부천시청
2022-01-08 14:25:00,춘의역6번출구
2022-01-08 14:32:00,대성병원
2022-01-08 19:17:00,소사
2022-01-08 19:58:00,상동역1번출구.부천터미널소풍.홈플러스
2022-01-08 20:55:00,상동역1번출구.부천터미널소풍.홈플러스
2022-01-08 21:00:00,부천시청
2022-01-08 21:01:00,계룡리슈빌
2022-01-08 21:44:00,중동
2022-01-09 11:23:00,중동
2022-01-09 12:14:00,부천시청
2022-01-09 16:53:00,중동
2022-01-09 21:33:00,부천우편집중국.부천실업고
2022-01-10 07:23:00,중동
2022-01-10 09:00:00,상동
2022-01-10 15:38:00,중동행정복지센터.시민회관
2022-01-10 15:51:00,축협원미지점
2022-01-10 19:40:00,축협원미지점
2022-01-10 19:47:00,부천역북부(기점)
2022-01-10 21:49:00,중동
2022-01-11 06:42:00,중동행정복지센터.시민회관
2022-01-11 06:47:00,중동역
2022-01-11 06:54:00,부천시청역5번출구
